packet_size,inter_arrival_time,src_port,dst_port,packet_count_5s,mean_packet_size,spectral_entropy,frequency_band_energy,label,protocol_type_TCP,protocol_type_UDP,src_ip_192.168.1.2,src_ip_192.168.1.3,dst_ip_192.168.1.5,dst_ip_192.168.1.6,tcp_flags_FIN,tcp_flags_SYN,tcp_flags_SYN-ACK
0.4051539012168933,0.620362331667024,62569,443,0.8571428571428571,0.0,0.8340663956566345,0.5348906847626227,0.0,False,True,True,False,False,False,False,False,False
0.5275590551181102,0.7412876526349436,59382,443,0.7857142857142857,0.0,0.14719581015030947,0.9907566019833739,0.0,False,True,False,False,False,True,False,True,False
0.22619899785254113,0.48511593579426804,65484,80,0.2857142857142857,0.0,0.8551924392708292,0.03178112930236281,0.0,False,True,False,False,True,False,False,False,False
0.5733715103793844,0.45096528378398365,51707,53,0.1428571428571429,0.0,0.15322007471284227,0.16995800838242914,0.0,False,False,False,True,False,False,False,False,False
0.651395848246242,0.8887398441895347,26915,53,0.7142857142857143,0.0,0.923915598757981,0.5520532009424409,0.0,True,False,False,True,False,False,False,True,False
0.5683607730851825,0.20725027940188506,2619,53,0.9285714285714285,0.0,0.11337469136770206,0.582345905282907,0.0,True,False,True,False,False,False,False,False,False
0.5719398711524696,0.3639081792853329,14582,53,0.7142857142857143,0.0,0.8744573929115154,0.7605478943211209,0.0,False,False,True,False,False,False,False,True,False
0.1732283464566929,0.07533500906785785,5724,443,0.4285714285714286,0.0,0.5417473564287594,0.1750546539881762,0.0,False,False,True,False,True,False,False,False,True
0.9677881173944165,0.49346084096191395,28474,443,0.07142857142857145,0.0,0.3306550432576598,0.023906086581743605,0.0,False,False,False,False,False,False,True,False,False
0.364352183249821,0.434361652894239,22620,443,0.5714285714285714,0.0,0.05678871325022872,0.17224588770638039,0.0,False,True,False,True,False,True,False,False,False
0.9813886900501074,0.2687450469351399,55001,53,0.7142857142857143,0.0,0.8857907806182999,0.11712826924693824,0.0,False,True,True,False,False,True,False,True,False
0.05368647100930565,0.6994217640528572,59244,443,0.5,0.0,0.018392893790831977,0.3213474182573579,0.0,False,True,False,True,False,True,True,False,False
0.541159627773801,0.18018895131918325,19720,53,0.2142857142857143,0.0,0.2357173684387277,0.3425213396714127,0.0,True,False,True,False,False,True,False,True,False
0.9828203292770221,0.1320373316139454,44626,80,0.07142857142857145,0.0,0.46908808721578144,0.8501368359779684,0.0,False,True,False,True,False,False,False,False,True
0.9090909090909091,0.9004403016272488,58876,53,0.5714285714285714,0.0,0.7953962272989408,0.6921294359447977,0.0,False,False,True,False,True,False,False,False,True
0.6879026485325698,0.6128666902295223,6787,443,0.3571428571428571,0.0,0.8316886700763817,0.968626035546769,0.0,False,False,False,False,False,True,False,True,False
0.9355762347888332,0.3127254887164758,4734,80,0.9999999999999999,0.0,0.8037446553795675,0.36461888201573506,0.0,False,False,True,False,False,False,False,False,False
0.6349319971367215,0.818244213991487,59615,53,0.4285714285714286,0.0,0.11939678529440823,0.41959250594346104,0.0,True,False,False,False,False,True,True,False,False
0.9706513958482463,0.9398474459235807,48181,80,0.2857142857142857,0.0,0.7398950061479672,0.081898738236255,0.0,True,False,False,True,False,False,False,False,True
0.45168217609162487,0.966616646781938,4151,80,0.5714285714285714,0.0,0.2609613625034166,0.9301590175330078,0.0,True,False,False,True,False,False,False,False,False
0.27487473156764497,0.14262230187258484,7068,443,0.6428571428571429,0.0,0.35694757295796364,0.7538823498939662,0.0,False,False,True,False,False,True,False,False,True
0.31209735146743023,0.13593452376341456,17182,80,0.9999999999999999,0.0,0.400534913075429,0.8798354717428809,0.0,True,False,True,False,False,True,False,True,False
0.3321403006442376,0.7377405877850597,30522,443,0.1428571428571429,0.0,0.8389404174334318,0.9263231894064098,1.0,True,False,False,False,False,False,False,True,False
0.7895490336435218,0.715371255451392,58164,443,0.6428571428571429,0.0,0.5151387969845498,0.05695372604458181,0.0,False,False,False,False,False,False,False,True,False
